"name","industry_label_list","revenue","netIncome","equity","numEmployees","locationCity_list","stockSymbol","tradedAs_list","ceo_name_list","foundingDate","founded_list"
"Delivery Hero","Online food ordering","1.238E9",,,24617,"",,"","",,""
"Digex","Telecommunications","1.87E8",,,785,"",,"","",,""
"Digital Realty","Real estate investment trust","3.209E9",,,1550,"",,"","",,""
"Earls (restaurant chain)","Restaurant","2.5E8",,,5000,"",,"","",,""
"Eiffage","Civil engineering,Construction","1.4E10",,,70893,"",,"","",,""
"Hamamatsu Photonics","Electronics","1.01E9",,,4420,"",,"","",,""
"Hayneedle","Decorative arts,E-commerce,Household goods,Online shopping,Retail","3.5E8",,,800,"",,"","",,""
"Hellenic Vehicle Industry","Automotive industry","1.082E8",,,380,"",,"","",,""
"Hana Micron","Semiconductor industry","260.0",,,1300,"",,"","",,""
"Halliburton","Petroleum","2.3995E10",,,55000,"",,"","",,""
"HanseYachts","Boat building","1.52E8",,,1419,"",,"","",,""
"LendingClub","Personal finance,Software","5.745E8",,,1837,"",,"","",,""
"Lightspeed (company)","E-commerce,Point of sale","2.217E8",,,2000,"",,"","",,""
"Lincolnshire Co-operative","Retail","355.0",,,2870,"",,"","",,""
"Leadtek","Computer hardware","1.699E8",,,498,"",,"","",,""
"Libro Credit Union","Financial services","9.6659E7",,,700,"",,"","",,""
"LifeArc","Medical research","1204.0",,,180,"",,"","",,""
"Store Capital","Real estate investment trust","7.83E8",,,100,"",,"","",,""
"Swisslion Group","Food industry","8340000.0",,,488,"",,"","",,""
"Synechron Inc","Consultant,Financial services,Information technology","8.0E8",,,13000,"",,"","",,""
"Synopsys","Integrated circuit,Internet of things,Self-driving car,Software as a service,Software testing","4.2E9",,,15000,"",,"","",,""
"Triumph International","Fashion","1.437E9",,,30000,"",,"","",,""
"Troms Kraft","Electric utility","2650.0",,,433,"",,"","",,""
"Tupperware Brands","Household goods,Multi-level marketing","2.3004E8",,,13500,"",,"","",,""
"U.S. Steel","Steel","9.741E9",,,23350,"",,"","",,""
"Triumph Group","Aerospace,Manufacturing","2.9E9",,,14309,"",,"","",,""
"Turkish Aerospace Industries","Aerospace manufacturer,Arms industry","2.26E9",,,8500,"",,"","",,""
"Uber","Transport","1.1139E10",,,22800,"",,"","",,""
"Sumitomo Mitsui Construction","Construction","3.7E9",,,4444,"",,"","",,""
"Tutor Perini","Construction","4.76E9",,,10061,"",,"","",,""
"Twilio","Communication","1.76E9",,,4500,"",,"","",,""
"Swissport Tanzania","Aviation","5.68E10",,,994,"",,"","",,""
"Synacor","Technology","1.274E8",,,449,"",,"","",,""
"Giuliani Partners","Investment fund,Management consulting,Real estate","4.0E7",,,50,"",,"","",,""
"Mitsubishi Research Institute","Consultant","7.25E10",,,3741,"",,"","",,""
"Ride & Show Engineering, Inc.","Engineering","5000000.0",,,50,"",,"","",,""
"Uganda Development Bank Limited","Finance","2.211E10",,,88,"",,"","",,""
"DekaBank (Germany)","Financial services","9.283E8",,,4711,"",,"","",,""
"Ukrtatnafta","Refining","1.3E9",,,4000,"",,"","",,""
"Sparebanken Vest","Bank","55.0",,,732,"",,"","",,""
"Menarini","Medication","3.0",,,17650,"",,"","",,""
"Gakken","Publishing","9.69E8",,,6930,"",,"","",,""
"Garrett Motion","Automotive industry","3.375E9",,,6000,"",,"","",,""
"Blue Bell Creameries","Ice cream","6.8E8",,,1000,"",,"","",,""
"Bovie Medical","Medical device","2.82E7",,,200,"",,"","",,""
"Gensler","Architecture","1.2E9",,,6000,"",,"","",,""
"Blue Cross Blue Shield of Massachusetts","Healthcare industry","4.8E9",,,3600,"",,"","",,""
"Boston Market","Restaurant","3.73E8",,,14000,"",,"","",,""
"Bralirwa Brewery","Brewing","8.635E10",,,546,"",,"","",,""
"Galletas Fontaneda","Food processing","3.0149E7",,,600,"",,"","",,""
"Bluebird bio","Biotechnology","2.2E8",,,1090,"",,"","",,""
"Brasil Telecom","Telecommunications","6.5E9",,,20451,"",,"","",,""
"Galena Biopharma","Biotechnology","7400000.0",,,60,"",,"","",,""
"Gerrity's Supermarkets","Grocery store","2.04E8",,,1200,"",,"","",,""
"Hokkaido Electric Power Company","Electric power transmission,Electricity generation","733050.0",,,10962,"",,"","",,""
"Getinge Group","Health care","2.9756E10",,,15582,"",,"","",,""
"Henry Ford Health System","Health care","5.8E9",,,31600,"",,"","",,""
"Lunds & Byerlys","Retail","5.0E8",,,3900,"",,"","",,""
"M. DuMont Schauberg","Mass media","6.7125E8",,,4254,"",,"","",,""
"Heritage Foods","Agribusiness,Dairy","3000.0",,,3000,"",,"","",,""
"LoanDepot","Mortgage loan","4.3E9",,,11763,"",,"","",,""
"Loewe (fashion brand)","Clothing,Fashion accessory","3.411E8",,,1300,"",,"","",,""
"Logista","Distribution (marketing),Wholesaling","9.47E9",,,6000,"",,"","",,""
"Arkema","Chemical industry","7.9E9",,,20500,"",,"","",,""
"Hersha Hospitality Trust","Real estate investment trust","5.29E8",,,49,"",,"","",,""
"HiPay","Payment service provider","3.49E7",,,200,"",,"","",,""
"NEK EAD","Electricity","1.5E9",,,15000,"",,"","",,""
"Nakheel Properties","Real estate","5.67E9",,,1500,"",,"","",,""
"Navy Exchange","Retail","3.2E9",,,14000,"",,"","",,""
"Neo Solar Power","Optoelectronics,Photovoltaics,Solar energy","4.2E8",,,2400,"",,"","",,""
"NHST Media Group","Mass media","1294000.0",,,700,"",,"","",,""
"NOS (Portuguese company)","Mass media,Telecommunications","1.59E9",,,1909,"",,"","",,""
"Nabtesco","Machine","2.946E11",,,7713,"",,"","",,""
"Natuzzi","Manufacturing,Upholstery","4.885E8",,,5633,"",,"","",,""
"Petroleum Geo-Services","Petroleum","5.9E8",,,1800,"",,"","",,""
"NBS Bank","Bank","1.7E9",,,342,"",,"","",,""
"NYSE Euronext","Financial services","3.75E9",,,3061,"",,"","",,""
"Nationwide Mutual Insurance Company","Financial services","4.19E10",,,25391,"",,"","",,""
"Natixis","Financial services","7.2E9",,,19580,"",,"","",,""
"Nederlandse Spoorwegen","Rail transport","6601.0",,,36600,"",,"","",,""
"Petit Bateau","Textile industry","2.65E8",,,4000,"",,"","",,""
"Piotr i Paweł","Retail","2.123E9",,,4000,"",,"","",,""
"Polomarket","Retail","2.41E9",,,7000,"",,"","",,""
"Radvision","Teleconference,Videotelephony","7.8E7",,,430,"",,"","",,""
"Plains Exploration & Production","Petroleum industry","2.565E9",,,906,"",,"","",,""
"RAI","Mass media","2.493E9",,,11635,"",,"","",,""
"Rafael Advanced Defense Systems","Aerospace,Arms industry","2.7E9",,,7000,"",,"","",,""
"Rauma Marine Constructions","Arms industry,Shipbuilding","4.1234E7",,,182,"",,"","",,""
"Raymond James Financial","Investment","7.99E9",,,18910,"",,"","",,""
"Reichle & De-Massari","Information and communications technology","265.1",,,1232,"",,"","",,""
"Springer Nature","Publishing","1.72E9",,,10000,"",,"","",,""
"StandardAero","Aircraft maintenance,Arms industry","3.0E9",,,6000,"",,"","",,""
"Statoil Fuel & Retail","Convenience store,Petroleum industry","7.37E10",,,17500,"",,"","",,""
"Jolidon","Clothing","8.0E7",,,2000,"",,"","",,""
"Spectris","Instrumentation","1292.0",,,8000,"",,"","",,""
"Recipe Unlimited","Restaurant","1252.0",,,40000,"",,"","",,""
"Red Lion Hotels Corporation","Hospitality","1.4292E8",,,1783,"",,"","",,""
