"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2Value","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity similarity","[0] NumberOfEmployeesComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2Value","[1] CompanyNameComparatorTokenizingJaccardSimilarity record1PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity record2PreprocessedValue","[1] CompanyNameComparatorTokenizingJaccardSimilarity similarity","[1] CompanyNameComparatorTokenizingJaccardSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_1763","dbpedia_1854","0.012903225806451613","0","8700.0","1664.0","8700.0","1664.0","0.992964","0.992964","Akamai Technologies","Slack Technologies","Akamai Technologies","Slack Technologies","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_182","dbpedia_2674","1.0","1","624000.0","674000.0","624000.0","674000.0","0.95","0.95","Accenture","Accenture","Accenture","Accenture","1.0","1.0"
"WekaMatchingRule","ft_id_922","dbpedia_637","0.012903225806451613","0","51369.0","28061.0","51369.0","28061.0","0.976692","0.976692","Shanghai Construction","MedStar Health","Shanghai Construction","MedStar Health","0.0","0.0"
"WekaMatchingRule","ft_id_1588","dbpedia_3408","0.012903225806451613","0","92694.0","5275.0","92694.0","5275.0","0.912581","0.912581","Metro Group","Petrol Group","Metro Group","Petrol Group","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_421","dbpedia_4563","1.0","1","10753.0","9111.0","10753.0","9111.0","0.998358","0.998358","Lennar","Lennar","Lennar","Lennar","1.0","1.0"
"WekaMatchingRule","ft_id_1890","dbpedia_5622","0.012903225806451613","0","7208.0","62418.0","7208.0","62418.0","0.94479","0.94479","PennyMac Financial Services","PNC Financial Services","PennyMac Financial Services","PNC Financial Services","0.5","0.5"
"WekaMatchingRule","ft_id_861","dbpedia_6290","0.012903225806451613","0","19300.0","550.0","19300.0","550.0","0.98125","0.98125","Roper Technologies","TOA Technologies","Roper Technologies","TOA Technologies","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1219","dbpedia_4932","0.012903225806451613","0","-99.0","1702.0","-99.0","1702.0","0.998199","0.998199","Carnival Corporation","Ohara Corporation","Carnival Corporation","Ohara Corporation","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1685","dbpedia_1707","1.0","1","-99.0","6592.0","-99.0","6592.0","0.993309","0.993309","Chang Hwa Bank","Chang Hwa Bank","Chang Hwa Bank","Chang Hwa Bank","1.0","1.0"
"WekaMatchingRule","ft_id_1796","dbpedia_6086","0.012903225806451613","0","160100.0","2286.0","160100.0","2286.0","0.842186","0.842186","Lear","Chemring Group","Lear","Chemring Group","0.0","0.0"
"WekaMatchingRule","ft_id_1675","dbpedia_1739","0.012903225806451613","0","-99.0","1093.0","-99.0","1093.0","0.998808","0.998808","WPG Holdings","KCG Holdings","WPG Holdings","KCG Holdings","0.3333333333333333","0.3333333333333333"
"WekaMatchingRule","ft_id_1029","dbpedia_1441","0.012903225806451613","0","15096.0","10200.0","15096.0","10200.0","0.995104","0.995104","Daiwa Securities","Elanco","Daiwa Securities","Elanco","0.0","0.0"
"WekaMatchingRule","ft_id_619","dbpedia_415","1.0","1","-99.0","9071.0","-99.0","9071.0","0.99083","0.99083","China Steel","China Steel","China Steel","China Steel","1.0","1.0"
"WekaMatchingRule","ft_id_376","dbpedia_6808","0.012903225806451613","0","18100.0","211.0","18100.0","211.0","0.982111","0.982111","Hartford Financial Services","Maconomy","Hartford Financial Services","Maconomy","0.0","0.0"
