"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] NumberOfEmployeesComparatorPercentageSimilarity record1Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record2Value","[0] NumberOfEmployeesComparatorPercentageSimilarity record1PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity record2PreprocessedValue","[0] NumberOfEmployeesComparatorPercentageSimilarity similarity","[0] NumberOfEmployeesComparatorPercentageSimilarity postproccesedSimilarity","[1] CompanyNameComparatorLevenshteinSimilarity record1Value","[1] CompanyNameComparatorLevenshteinSimilarity record2Value","[1] CompanyNameComparatorLevenshteinSimilarity record1PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity record2PreprocessedValue","[1] CompanyNameComparatorLevenshteinSimilarity similarity","[1] CompanyNameComparatorLevenshteinSimilarity postproccesedSimilarity"
"WekaMatchingRule","ft_id_955","7.1m_229",,"0","46000.0","40732.0","46000.0","40732.0","0.977095652173913","0.977095652173913","Tractor Supply","fedex","Tractor Supply","fedex","0.0","0.0"
"WekaMatchingRule","ft_id_827","7.1m_11820","0.0",,"-99.0","1764.0","-99.0","1764.0","0.7887755102040817","0.7887755102040817","Segro","semarnat","Segro","semarnat","0.375","0.375"
"WekaMatchingRule","ft_id_1179","7.1m_3361","0.0",,"59436.0","7021.0","59436.0","7021.0","0.8236254122080894","0.8236254122080894","Secom","sebrae","Secom","sebrae","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","ft_id_175","7.1m_50",,"0","133000.0","113434.0","133000.0","113434.0","0.9705774436090225","0.9705774436090225","Dell Technologies","huawei technologies","Dell Technologies","huawei technologies","0.6842105263157895","0.6842105263157895"
"WekaMatchingRule","ft_id_1163","7.1m_1699",,"0","59.0","13246.0","59.0","13246.0","0.8008908349690472","0.8008908349690472","CJ Corporation","sabre corporation","CJ Corporation","sabre corporation","0.7058823529411764","0.7058823529411764"
"WekaMatchingRule","ft_id_1706","7.1m_10279","0.0",,"17043.0","2721.0","17043.0","2721.0","0.8319309980637212","0.8319309980637212","Zalando","zambon","Zalando","zambon","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","ft_id_121","7.1m_1550",,"0","126495.0","17475.0","126495.0","17475.0","0.8276295505751216","0.8276295505751216","AIRBUS","chick-fil-a","AIRBUS","chick-fil-a","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","ft_id_276","7.1m_626","1.0","1","23683.0","19107.0","23683.0","19107.0","0.9613562470970739","0.9613562470970739","National Grid","national grid","National Grid","national grid","1.0","1.0"
"WekaMatchingRule","ft_id_1209","7.1m_491",,"0","-99.0","29122.0","-99.0","29122.0","0.7993201016413708","0.7993201016413708","PGE Polska Grupa Energetyczna","rockwell automation","PGE Polska Grupa Energetyczna","rockwell automation","0.1724137931034483","0.1724137931034483"
"WekaMatchingRule","ft_id_1989","7.1m_1647",,"0","10186.0","16267.0","10186.0","16267.0","0.9252351386242085","0.9252351386242085","Grandjoy Holdings Group","sfr","Grandjoy Holdings Group","sfr","0.08695652173913049","0.08695652173913049"
"WekaMatchingRule","ft_id_801","7.1m_913",,"0","24540.0","19483.0","24540.0","19483.0","0.9587856560717196","0.9587856560717196","US Steel","aricent","US Steel","aricent","0.125","0.125"
"WekaMatchingRule","ft_id_130","7.1m_518","1.0","1","38000.0","25980.0","38000.0","25980.0","0.9367368421052632","0.9367368421052632","Manulife","manulife","Manulife","manulife","1.0","1.0"
"WekaMatchingRule","ft_id_123","7.1m_4",,"0","-99.0","428960.0","-99.0","428960.0","0.7999538418500559","0.7999538418500559","Hon Hai Precision","ey","Hon Hai Precision","ey","0.05882352941176472","0.05882352941176472"
"WekaMatchingRule","ft_id_1195","7.1m_872","0.015873015873015872","0","7346.0","17039.0","7346.0","17039.0","0.8862257174716827","0.8862257174716827","National Bank of Greece","national bank of canada","National Bank of Greece","national bank of canada","0.7391304347826086","0.7391304347826086"
"WekaMatchingRule","ft_id_1522","7.1m_897",,"0","26500.0","13931.0","26500.0","13931.0","0.9051396226415094","0.9051396226415094","Mondi","florida hospital","Mondi","florida hospital","0.1875","0.1875"
"WekaMatchingRule","ft_id_1694","7.1m_1855",,"0","3.0","10241.0","3.0","10241.0","0.8000585880285128","0.8000585880285128","Iveco Group","investors group","Iveco Group","investors group","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","ft_id_1352","7.1m_316",,"0","2413.0","45468.0","2413.0","45468.0","0.8106140582387613","0.8106140582387613","Xinjiang Daqo New Energy","ncr corporation","Xinjiang Daqo New Energy","ncr corporation","0.125","0.125"
"WekaMatchingRule","ft_id_1256","7.1m_1457","0.015873015873015872","0","90000.0","14891.0","90000.0","14891.0","0.8330911111111111","0.8330911111111111","Metro","metso","Metro","metso","0.8","0.8"
"WekaMatchingRule","ft_id_1573","7.1m_572",,"0","30544.0","38040.0","30544.0","38040.0","0.9605888538380651","0.9605888538380651","Knorr-Bremse","the university of texas at austin","Knorr-Bremse","the university of texas at austin","0.12121212121212122","0.12121212121212122"
"WekaMatchingRule","ft_id_816","7.1m_13419","0.0",,"24300.0","1827.0","24300.0","1827.0","0.815037037037037","0.815037037037037","Ball","banbajío","Ball","banbajío","0.25","0.25"
"WekaMatchingRule","ft_id_1690","7.1m_1819",,"0","1596.0","9645.0","1596.0","9645.0","0.8330948678071539","0.8330948678071539","SBA Communications","nuance communications","SBA Communications","nuance communications","0.7619047619047619","0.7619047619047619"
"WekaMatchingRule","ft_id_1680","7.1m_9423","0.0",,"-99.0","3899.0","-99.0","3899.0","0.7949217748140549","0.7949217748140549","Uniqa","unido","Uniqa","unido","0.6","0.6"
"WekaMatchingRule","ft_id_178","7.1m_1393",,"0","-99.0","26216.0","-99.0","26216.0","0.7992447360390601","0.7992447360390601","América Móvil","bath & body works","América Móvil","bath & body works","0.11764705882352944","0.11764705882352944"
"WekaMatchingRule","ft_id_48","7.1m_7399","0.0",,"477600.0","3052.0","477600.0","3052.0","0.8012780569514237","0.8012780569514237","Gazprom","gaf","Gazprom","gaf","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","ft_id_708","7.1m_17375","0.0",,"12525.0","1537.0","12525.0","1537.0","0.8245429141716567","0.8245429141716567","Mosaic","mondriaan","Mosaic","mondriaan","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","ft_id_1459","7.1m_207","0.015873015873015872","0","103300.0","44516.0","103300.0","44516.0","0.886187802516941","0.886187802516941","Valeo","vale","Valeo","vale","0.8","0.8"
"WekaMatchingRule","ft_id_326","7.1m_65",,"0","-99.0","117021.0","-99.0","117021.0","0.7998307996000718","0.7998307996000718","Richemont","novartis","Richemont","novartis","0.0","0.0"
"WekaMatchingRule","ft_id_19","7.1m_9","1.0","1","203000.0","269659.0","203000.0","269659.0","0.950560522734268","0.950560522734268","AT&T","at&t","AT&T","at&t","1.0","1.0"
"WekaMatchingRule","ft_id_1535","7.1m_1305",,"0","-99.0","6682.0","-99.0","6682.0","0.7970368153247531","0.7970368153247531","Rexel","libero  professionista","Rexel","libero  professionista","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","ft_id_175","7.1m_1544",,"0","133000.0","16046.0","133000.0","16046.0","0.8241293233082707","0.8241293233082707","Dell Technologies","fmc technologies","Dell Technologies","fmc technologies","0.7647058823529411","0.7647058823529411"
"WekaMatchingRule","ft_id_1107","7.1m_475",,"0","1300.0","37398.0","1300.0","37398.0","0.8069522434354779","0.8069522434354779","Chesapeake Energy","accorhotels","Chesapeake Energy","accorhotels","0.11764705882352944","0.11764705882352944"
"WekaMatchingRule","ft_id_175","7.1m_1782",,"0","133000.0","13147.0","133000.0","13147.0","0.81976992481203","0.81976992481203","Dell Technologies","united technologies","Dell Technologies","united technologies","0.6842105263157895","0.6842105263157895"
"WekaMatchingRule","ft_id_249","7.1m_609",,"0","103100.0","26035.0","103100.0","26035.0","0.8505043646944714","0.8505043646944714","General Dynamics","general mills","General Dynamics","general mills","0.625","0.625"
"WekaMatchingRule","ft_id_429","7.1m_33","1.0","1","142000.0","120776.0","142000.0","120776.0","0.9701070422535212","0.9701070422535212","Boeing","boeing","Boeing","boeing","1.0","1.0"
"WekaMatchingRule","ft_id_1309","7.1m_517",,"0","4059.0","33441.0","4059.0","33441.0","0.8242755898448013","0.8242755898448013","Arab National Bank","telenor","Arab National Bank","telenor","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","ft_id_337","7.1m_1810",,"0","316078.0","10027.0","316078.0","10027.0","0.8063446364504964","0.8063446364504964","Fresenius","fresenius kabi","Fresenius","fresenius kabi","0.6428571428571428","0.6428571428571428"
