"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"FoundingYear","0.6666666666666666","FoundingYear-{7.1m_3777+ft_id_1057+ft_id_1722}","7.1m_3777+ft_id_1057+ft_id_1722","{1879|2006|1879}","1879",,
"CeoNames","0.3333333333333333","CeoNames-{dbpedia_3026+dbpedia_6743+ft_id_652}","dbpedia_3026+dbpedia_6743+ft_id_652","{[, , ]|[, , ]|[, Koji Kakigi, ]}","[, , ]",,
"Name","0.5","Name-{dbpedia_1992+ft_id_962}","dbpedia_1992+ft_id_962","{Equity Residential|Equity Residential}","Equity Residential",,
"Name","0.5","Name-{dbpedia_3607+ft_id_1624}","dbpedia_3607+ft_id_1624","{K+S|K+S}","K+S",,
"CeoNames","1.0","CeoNames-{ft_id_115}","ft_id_115","{[, Herman Oskarovich Gref, ]}","[, Herman Oskarovich Gref, ]",,
"City","0.0","City-{7.1m_1077+7.1m_5178+7.1m_550+7.1m_5843+ft_id_1463+ft_id_805}","7.1m_1077+7.1m_5178+7.1m_550+7.1m_5843+ft_id_1463+ft_id_805","{pretoria|beaverton|vancouver|north reading|North Reading|Solna}","Solna",,
"Country","0.0","Country-{7.1m_1332+7.1m_2925+ft_id_1497+ft_id_606}","7.1m_1332+7.1m_2925+ft_id_1497+ft_id_606","{liechtenstein|united states|United States|China}","China",,
"Revenue","1.0","Revenue-{ft_id_1051}","ft_id_1051","{15848000000}","15848000000",,
"Name","0.3333333333333333","Name-{7.1m_103+dbpedia_681+ft_id_272}","7.1m_103+dbpedia_681+ft_id_272","{abbott|ABB|ABB}","ABB","true","abb"
"City","1.0","City-{ft_id_1269}","ft_id_1269","{Vienna}","Vienna",,
"Revenue","0.5","Revenue-{dbpedia_3096+ft_id_1734}","dbpedia_3096+ft_id_1734","{24040000000|24568000000}","24040000000",,
"Country","0.4","Country-{7.1m_2124+7.1m_2740+7.1m_51+7.1m_5903+ft_id_997}","7.1m_2124+7.1m_2740+7.1m_51+7.1m_5903+ft_id_997","{japan|united states|united states|japan|Japan}","japan",,
"City","0.0","City-{7.1m_2566+7.1m_4665+ft_id_708+ft_id_849}","7.1m_2566+7.1m_4665+ft_id_708+ft_id_849","{riyadh|perth|Tampa|New York}","perth",,
"FoundingYear","1.0","FoundingYear-{7.1m_189+ft_id_224}","7.1m_189+ft_id_224","{1864|1864}","1864",,
"Name","0.2","Name-{7.1m_1315+7.1m_1365+7.1m_1453+7.1m_1872+7.1m_1984+7.1m_4525+7.1m_5352+dbpedia_2106+ft_id_567+ft_id_604}","7.1m_1315+7.1m_1365+7.1m_1453+7.1m_1872+7.1m_1984+7.1m_4525+7.1m_5352+dbpedia_2106+ft_id_567+ft_id_604","{swedbank|swisscom|swissport|swarovski|sweco|swift|swagelok|Swedbank|Swedbank|Swisscom}","sweco",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_2675+ft_id_581}","dbpedia_2675+ft_id_581","{9500|9800}","9500",,
"NumberOfEmployees","0.6666666666666666","NumberOfEmployees-{7.1m_751+dbpedia_3536+ft_id_896}","7.1m_751+dbpedia_3536+ft_id_896","{16946|61380|62720}","61380",,
"FoundingYear","1.0","FoundingYear-{ft_id_16}","ft_id_16","{1988}","1988",,
"FoundingYear","0.0","FoundingYear-{7.1m_46+ft_id_42}","7.1m_46+ft_id_42","{1848|1849}","1849",,
"Country","0.0","Country-{7.1m_156+ft_id_513}","7.1m_156+ft_id_513","{india|India}","India",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1873+7.1m_1887+ft_id_158}","7.1m_1873+7.1m_1887+ft_id_158","{13732|10709|80000}","80000",,
"City","0.0","City-{7.1m_1889+7.1m_3466+7.1m_4794+7.1m_5754+7.1m_975+ft_id_923}","7.1m_1889+7.1m_3466+7.1m_4794+7.1m_5754+7.1m_975+ft_id_923","{bombay|redlands|stockholm|ratingen|bristol|Stockholm}","bombay",,
"Industries","0.7","Industries-{7.1m_1381+7.1m_2981+7.1m_3723+7.1m_3926+dbpedia_2455+dbpedia_4338+dbpedia_4939+ft_id_1439+ft_id_1840+ft_id_326}","7.1m_1381+7.1m_2981+7.1m_3723+7.1m_3926+dbpedia_2455+dbpedia_4338+dbpedia_4939+ft_id_1439+ft_id_1840+ft_id_326","{[, government administration, ]|[, hospital & health care, ]|[, retail, ]|[, luxury goods & jewelry, ]|[, Electronics, ]|[, Luxury goods, ]|[, Automotive industry
				Energy storage, ]|[, Automotive, ]|[, Business Services & Supplies, ]|[, Retailing, ]}","[]",,
"Country","1.0","Country-{ft_id_1199}","ft_id_1199","{United States}","United States",,
"Country","1.0","Country-{ft_id_756}","ft_id_756","{United States}","United States",,
"CeoNames","1.0","CeoNames-{ft_id_1029}","ft_id_1029","{[, Seiji Nakata, ]}","[, Seiji Nakata, ]",,
"NumberOfEmployees","0.6666666666666666","NumberOfEmployees-{7.1m_6443+dbpedia_6794+ft_id_964}","7.1m_6443+dbpedia_6794+ft_id_964","{3481|20000|20000}","20000",,
"Revenue","0.625","Revenue-{dbpedia_4247+dbpedia_5504+dbpedia_5508+ft_id_1084+ft_id_1216+ft_id_1799+ft_id_28+ft_id_536}","dbpedia_4247+dbpedia_5504+dbpedia_5508+ft_id_1084+ft_id_1216+ft_id_1799+ft_id_28+ft_id_536","{668494000000|3693000000000|7107000000|9066000000|6891000000|8061000000|185116000000|30125000000}","7107000000",,
"CeoNames","0.5","CeoNames-{dbpedia_1982+ft_id_263}","dbpedia_1982+ft_id_263","{[, , ]|[, Benoît Potier, ]}","[, Benoît Potier, ]",,
"City","0.0","City-{7.1m_1002+7.1m_1422+7.1m_1436+7.1m_1685+7.1m_19+7.1m_2169+7.1m_2381+7.1m_2948+7.1m_312+7.1m_318+7.1m_3208+7.1m_3714+7.1m_381+7.1m_4114+7.1m_4947+7.1m_5156+7.1m_5598+7.1m_7231+ft_id_1295+ft_id_1520+ft_id_1976+ft_id_209+ft_id_298+ft_id_5+ft_id_777+ft_id_869+ft_id_941}","7.1m_1002+7.1m_1422+7.1m_1436+7.1m_1685+7.1m_19+7.1m_2169+7.1m_2381+7.1m_2948+7.1m_312+7.1m_318+7.1m_3208+7.1m_3714+7.1m_381+7.1m_4114+7.1m_4947+7.1m_5156+7.1m_5598+7.1m_7231+ft_id_1295+ft_id_1520+ft_id_1976+ft_id_209+ft_id_298+ft_id_5+ft_id_777+ft_id_869+ft_id_941","{austin|amsterdam|district of columbia|london|seattle|valley forge|oxford|sydney|thousand oaks|chesterfield|st. louis|sao paulo|ada|washington|paris|virginia beach|vernier|berwyn|Berwyn|Reno|Alexandria|Thousand Oaks|Conshohocken|Seattle|Wallingford|St. Louis|Warmley}","ada","false","Seattle"
"Name","0.5","Name-{7.1m_254+7.1m_461+7.1m_7173+ft_id_150}","7.1m_254+7.1m_461+7.1m_7173+ft_id_150","{telstra|tesla|test|Tesla}","test",,
"CeoNames","0.5","CeoNames-{dbpedia_5081+ft_id_143}","dbpedia_5081+ft_id_143","{[, , ]|[, Albert Monaco, ]}","[, Albert Monaco, ]",,
"CeoNames","0.6666666666666666","CeoNames-{dbpedia_3588+ft_id_1203+ft_id_1740}","dbpedia_3588+ft_id_1203+ft_id_1740","{[, , ]|[, Vincent Warnery, ]|[, John V. Oyler, ]}","[, John V. Oyler, ]",,
"Name","0.2","Name-{7.1m_1144+7.1m_4346+7.1m_6983+dbpedia_2905+ft_id_456}","7.1m_1144+7.1m_4346+7.1m_6983+dbpedia_2905+ft_id_456","{consultant|copel|coutts|Corteva|Corteva}","copel",,
"FoundingYear","0.0","FoundingYear-{7.1m_62+ft_id_35}","7.1m_62+ft_id_35","{1935|1924}","1924","true","1924"
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_3115+ft_id_815}","dbpedia_3115+ft_id_815","{69000|70000}","69000",,
"CeoNames","0.6","CeoNames-{dbpedia_1035+dbpedia_6679+ft_id_1295+ft_id_1520+ft_id_209}","dbpedia_1035+dbpedia_6679+ft_id_1295+ft_id_1520+ft_id_209","{[, , ]|[, , ]|[, David A. Zapico, ]|[, Edward Joe Shoen, ]|[, Robert A. Bradway, ]}","[, , ]",,
"CeoNames","1.0","CeoNames-{ft_id_113}","ft_id_113","{[, James Quincey, ]}","[, James Quincey, ]",,
"Country","1.0","Country-{ft_id_1433}","ft_id_1433","{United States}","United States",,
"Revenue","1.0","Revenue-{ft_id_1065}","ft_id_1065","{10241000000}","10241000000",,
"Name","0.6666666666666666","Name-{7.1m_6992+dbpedia_4763+ft_id_331}","7.1m_6992+dbpedia_4763+ft_id_331","{lg chem|LG Chem|LG Chem}","lg chem",,
"Industries","0.8","Industries-{7.1m_102+7.1m_1457+7.1m_1631+7.1m_3404+7.1m_3830+7.1m_902+dbpedia_5684+dbpedia_6282+ft_id_167+ft_id_73}","7.1m_102+7.1m_1457+7.1m_1631+7.1m_3404+7.1m_3830+7.1m_902+dbpedia_5684+dbpedia_6282+ft_id_167+ft_id_73","{[, medical devices, ]|[, machinery, ]|[, retail, ]|[, hospital & health care, ]|[, government administration, ]|[, retail, ]|[, Financial services, ]|[, Medical device, ]|[, Health Care Equipment & Services, ]|[, Insurance, ]}","[]",,
"FoundingYear","1.0","FoundingYear-{7.1m_4521+ft_id_7}","7.1m_4521+ft_id_7","{1951|1951}","1951",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1290+dbpedia_1360+ft_id_508}","7.1m_1290+dbpedia_1360+ft_id_508","{17056|16000|14500}","16000",,
"Name","0.0","Name-{7.1m_3675+ft_id_1550}","7.1m_3675+ft_id_1550","{toll group|Tongkun Group}","toll group",,
"FoundingYear","1.0","FoundingYear-{7.1m_1196+ft_id_1761}","7.1m_1196+ft_id_1761","{1907|1907}","1907",,
"Country","0.0","Country-{7.1m_5616+ft_id_1451}","7.1m_5616+ft_id_1451","{united states|United States}","United States",,
"CeoNames","1.0","CeoNames-{dbpedia_584+ft_id_1220}","dbpedia_584+ft_id_1220","{[, , ]|[, Edward Baltazar Pitoniak, ]}","[, Edward Baltazar Pitoniak, ]",,
"Name","0.125","Name-{7.1m_267+7.1m_2706+7.1m_5316+7.1m_5659+7.1m_600+dbpedia_2590+ft_id_1544+ft_id_799}","7.1m_267+7.1m_2706+7.1m_5316+7.1m_5659+7.1m_600+dbpedia_2590+ft_id_1544+ft_id_799","{weatherford|wework|westfield|westat|westpac|WestRock|WEG|WestRock}","WEG",,
"Country","0.5","Country-{7.1m_1416+7.1m_3291+ft_id_176+ft_id_586}","7.1m_1416+7.1m_3291+ft_id_176+ft_id_586","{united states|china|France|France}","china",,
"City","0.0","City-{7.1m_1241+ft_id_347}","7.1m_1241+ft_id_347","{herzogenaurach|Houston}","Houston",,
"CeoNames","1.0","CeoNames-{ft_id_1293}","ft_id_1293","{[, Boris Yuryevich Kovalchuk, ]}","[, Boris Yuryevich Kovalchuk, ]",,
"Industries","1.0","Industries-{7.1m_147+ft_id_153}","7.1m_147+ft_id_153","{[, banking, ]|[, Banking, ]}","[]",,
"CeoNames","1.0","CeoNames-{ft_id_366}","ft_id_366","{[, Lie Hong Liu, ]}","[, Lie Hong Liu, ]",,
"Industries","0.8","Industries-{7.1m_1231+7.1m_265+7.1m_4535+7.1m_4807+7.1m_5914+7.1m_637+7.1m_833+dbpedia_4115+dbpedia_6018+ft_id_976}","7.1m_1231+7.1m_265+7.1m_4535+7.1m_4807+7.1m_5914+7.1m_637+7.1m_833+dbpedia_4115+dbpedia_6018+ft_id_976","{[, computer software, ]|[, banking, ]|[, entertainment, ]|[, financial services, ]|[, information technology and services, ]|[, facilities services, ]|[, pharmaceuticals, ]|[, Tertiary sector of the economy, ]|[, Tertiary sector of the economy, ]|[, Business Services & Supplies, ]}","[]",,
"Revenue","0.5714285714285714","Revenue-{dbpedia_1345+dbpedia_5446+dbpedia_6678+ft_id_10+ft_id_1042+ft_id_1231+ft_id_34}","dbpedia_1345+dbpedia_5446+dbpedia_6678+ft_id_10+ft_id_1042+ft_id_1231+ft_id_34","{7400000000|8785000000|140455000000|257488000000|8292000000|15188000000|138617000000}","7400000000","true","15188000000"
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_856+ft_id_1347+ft_id_1471+ft_id_54}","7.1m_856+ft_id_1347+ft_id_1471+ft_id_54","{15327|41557|29661|62537}","41557",,
"Country","0.0","Country-{7.1m_123+ft_id_1587}","7.1m_123+ft_id_1587","{united states|United States}","united states",,
"FoundingYear","1.0","FoundingYear-{7.1m_2814+ft_id_749}","7.1m_2814+ft_id_749","{1989|1989}","1989",,
"Name","0.5","Name-{7.1m_3253+7.1m_63+dbpedia_5417+ft_id_75}","7.1m_3253+7.1m_63+dbpedia_5417+ft_id_75","{the home depot canada|the home depot|The Home Depot|The Home Depot}","the home depot",,
"Revenue","1.0","Revenue-{ft_id_1064}","ft_id_1064","{6828000000}","6828000000","true","6835000000"
"City","0.0","City-{7.1m_103+ft_id_272}","7.1m_103+ft_id_272","{illinois city|Zurich}","Zurich","true","Zurich"
