"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1295+7.1m_5845+ft_id_1865}","7.1m_1295+7.1m_5845+ft_id_1865","{22877|6828|16586}","16586",,
"Industries","0.9285714285714286","Industries-{7.1m_1000+7.1m_1256+7.1m_188+7.1m_2072+7.1m_2144+7.1m_2820+7.1m_379+7.1m_410+7.1m_5340+7.1m_5809+7.1m_6815+dbpedia_4628+ft_id_1257+ft_id_864}","7.1m_1000+7.1m_1256+7.1m_188+7.1m_2072+7.1m_2144+7.1m_2820+7.1m_379+7.1m_410+7.1m_5340+7.1m_5809+7.1m_6815+dbpedia_4628+ft_id_1257+ft_id_864","{[, civil engineering, ]|[, transportation/trucking/railroad, ]|[, defense & space, ]|[, oil & energy, ]|[, hospital & health care, ]|[, retail, ]|[, banking, ]|[, human resources, ]|[, internet, ]|[, banking, ]|[, hospitality, ]|[, E-commerce
				Financial technology, ]|[, Retailing, ]|[, Business Services & Supplies, ]}","[]",,
"FoundingYear","0.0","FoundingYear-{7.1m_294+7.1m_3242+7.1m_5828+7.1m_652+7.1m_6662+7.1m_6792+7.1m_804+ft_id_1026+ft_id_1406}","7.1m_294+7.1m_3242+7.1m_5828+7.1m_652+7.1m_6662+7.1m_6792+7.1m_804+ft_id_1026+ft_id_1406","{1844|1983|1992|1974|2006|1997|1987|2007|1947}","1947",,
"CeoNames","1.0","CeoNames-{ft_id_20}","ft_id_20","{[, Yi Lin Wang, ]}","[, Yi Lin Wang, ]",,
"Name","0.25","Name-{7.1m_1928+7.1m_4971+7.1m_5639+7.1m_6680+dbpedia_4141+ft_id_1628+ft_id_350+ft_id_534}","7.1m_1928+7.1m_4971+7.1m_5639+7.1m_6680+dbpedia_4141+ft_id_1628+ft_id_350+ft_id_534","{crossmark|criteo|crh|cree|CrowdStrike|CrowdStrike|CRH|CRRC}","crh",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_4743+ft_id_675}","7.1m_4743+ft_id_675","{2520|26000}","26000",,
"CeoNames","0.6666666666666666","CeoNames-{dbpedia_1553+ft_id_1994+ft_id_958}","dbpedia_1553+ft_id_1994+ft_id_958","{[, , ]|[, Timoteo di Maulo, ]|[, Kevin P. Clark, ]}","[, Kevin P. Clark, ]",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_1708+ft_id_216}","dbpedia_1708+ft_id_216","{31064|49478}","31064",,
"City","0.0","City-{7.1m_1405+7.1m_253+7.1m_307+ft_id_10+ft_id_1042+ft_id_1231+ft_id_34}","7.1m_1405+7.1m_253+7.1m_307+ft_id_10+ft_id_1042+ft_id_1231+ft_id_34","{boise|munich|washington|Mountain View|Geneva|Saint-Ouen|Munich}","boise","false","Saint-Ouen"
"FoundingYear","0.0","FoundingYear-{7.1m_626+ft_id_246}","7.1m_626+ft_id_246","{1990|1968}","1968",,
"CeoNames","0.5","CeoNames-{dbpedia_4610+ft_id_1127}","dbpedia_4610+ft_id_1127","{[, , ]|[, Calvin R. McDonald, ]}","[, Calvin R. McDonald, ]",,
"Industries","1.0","Industries-{7.1m_1244+7.1m_1392+7.1m_198+7.1m_2732+7.1m_2940+7.1m_296+7.1m_3921+7.1m_814+ft_id_643+ft_id_674}","7.1m_1244+7.1m_1392+7.1m_198+7.1m_2732+7.1m_2940+7.1m_296+7.1m_3921+7.1m_814+ft_id_643+ft_id_674","{[, hospitality, ]|[, facilities services, ]|[, automotive, ]|[, wholesale, ]|[, staffing and recruiting, ]|[, oil & energy, ]|[, information technology and services, ]|[, oil & energy, ]|[, Consumer Durables, ]|[, Business Services & Supplies, ]}","[]",,
"Industries","0.8","Industries-{7.1m_1144+7.1m_4346+7.1m_6983+dbpedia_2905+ft_id_456}","7.1m_1144+7.1m_4346+7.1m_6983+dbpedia_2905+ft_id_456","{[, internet, ]|[, utilities, ]|[, banking, ]|[, Agrochemical, ]|[, Chemicals, ]}","[]",,
"Revenue","1.0","Revenue-{ft_id_17}","ft_id_17","{84123000000}","84123000000",,
"CeoNames","1.0","CeoNames-{ft_id_434}","ft_id_434","{[, Scott Wellington Wine, ]}","[, Scott Wellington Wine, ]",,
"Country","0.0","Country-{7.1m_473+ft_id_1297}","7.1m_473+ft_id_1297","{sweden|Sweden}","Sweden",,
"City","0.0","City-{7.1m_5849+ft_id_1994+ft_id_958}","7.1m_5849+ft_id_1994+ft_id_958","{falls church|Luxembourg|Dublin}","Dublin",,
"Industries","0.5","Industries-{dbpedia_1990+ft_id_1705}","dbpedia_1990+ft_id_1705","{[, Financial services, ]|[, Banking, ]}","[]",,
"Country","0.0","Country-{7.1m_4828+ft_id_369}","7.1m_4828+ft_id_369","{australia|Australia}","Australia",,
"Name","1.0","Name-{7.1m_2614+dbpedia_1915+ft_id_1349}","7.1m_2614+dbpedia_1915+ft_id_1349","{idexx laboratories|Idexx Laboratories|IDEXX Laboratories}","IDEXX Laboratories",,
"Industries","0.5","Industries-{dbpedia_4976+ft_id_1209}","dbpedia_4976+ft_id_1209","{[, Electricity, ]|[, Utilities, ]}","[]",,
"Country","0.0","Country-{7.1m_7069+ft_id_888}","7.1m_7069+ft_id_888","{united kingdom|Japan}","Japan",,
"Country","0.5","Country-{7.1m_3683+7.1m_3855+7.1m_5892+ft_id_971}","7.1m_3683+7.1m_3855+7.1m_5892+ft_id_971","{australia|united states|australia|Japan}","Japan",,
"NumberOfEmployees","0.75","NumberOfEmployees-{7.1m_1440+7.1m_2277+dbpedia_2820+ft_id_1503}","7.1m_1440+7.1m_2277+dbpedia_2820+ft_id_1503","{12997|7045|8800|9800}","8800",,
"Industries","0.6666666666666666","Industries-{7.1m_1146+dbpedia_4601+ft_id_249}","7.1m_1146+dbpedia_4601+ft_id_249","{[, defense & space, ]|[, Aerospace engineering
				Military
				Shipbuilding, ]|[, Aerospace & Defense, ]}","[]",,
"Name","0.09090909090909091","Name-{7.1m_1351+7.1m_1517+7.1m_1806+7.1m_2059+7.1m_3272+7.1m_376+7.1m_4334+7.1m_4855+7.1m_928+ft_id_103+ft_id_139}","7.1m_1351+7.1m_1517+7.1m_1806+7.1m_2059+7.1m_3272+7.1m_376+7.1m_4334+7.1m_4855+7.1m_928+ft_id_103+ft_id_139","{mindtree|mindshare|mitre|mitie|minsa|michelin|mitel|misys|mindtree|Mitsubishi|Mitsui}","mitel",,
"Country","0.2692307692307692","Country-{7.1m_127+7.1m_2630+7.1m_269+7.1m_2818+7.1m_294+7.1m_3242+7.1m_41+7.1m_5163+7.1m_5189+7.1m_5252+7.1m_5640+7.1m_5828+7.1m_6117+7.1m_652+7.1m_6643+7.1m_6662+7.1m_6667+7.1m_6792+7.1m_783+7.1m_804+ft_id_1026+ft_id_1406+ft_id_1908+ft_id_20+ft_id_64+ft_id_85}","7.1m_127+7.1m_2630+7.1m_269+7.1m_2818+7.1m_294+7.1m_3242+7.1m_41+7.1m_5163+7.1m_5189+7.1m_5252+7.1m_5640+7.1m_5828+7.1m_6117+7.1m_652+7.1m_6643+7.1m_6662+7.1m_6667+7.1m_6792+7.1m_783+7.1m_804+ft_id_1026+ft_id_1406+ft_id_1908+ft_id_20+ft_id_64+ft_id_85","{brazil|united states|mexico|united kingdom|united kingdom|united states|united states|taiwan|sweden|france|indonesia|france|united states|malaysia|south africa|united states|germany|united states|united kingdom|united states|Taiwan|United States|United Kingdom|China|Brazil|United States}","China","false","United States"
"Name","0.5","Name-{dbpedia_2941+ft_id_1689}","dbpedia_2941+ft_id_1689","{LG Uplus|LG Uplus}","LG Uplus",,
"FoundingYear","0.1875","FoundingYear-{7.1m_101+7.1m_2406+7.1m_2570+7.1m_266+7.1m_3445+7.1m_382+7.1m_398+7.1m_5716+7.1m_648+7.1m_850+ft_id_1301+ft_id_1422+ft_id_1501+ft_id_1780+ft_id_375+ft_id_436}","7.1m_101+7.1m_2406+7.1m_2570+7.1m_266+7.1m_3445+7.1m_382+7.1m_398+7.1m_5716+7.1m_648+7.1m_850+ft_id_1301+ft_id_1422+ft_id_1501+ft_id_1780+ft_id_375+ft_id_436","{1949|2016|1971|1949|1971|1996|1982|2005|1993|1874|2006|1996|1985|1946|1982|1949}","1985",,
"Revenue","1.0","Revenue-{ft_id_16}","ft_id_16","{181370000000}","181370000000",,
"Name","0.0","Name-{dbpedia_2387+ft_id_1281}","dbpedia_2387+ft_id_1281","{Banco Sabadell|Banco de Sabadell}","Banco Sabadell",,
"City","0.0","City-{7.1m_541+ft_id_94}","7.1m_541+ft_id_94","{new york|Zurich}","Zurich",,
"FoundingYear","1.0","FoundingYear-{7.1m_2526+ft_id_1747}","7.1m_2526+ft_id_1747","{1817|1817}","1817",,
"CeoNames","1.0","CeoNames-{ft_id_1580}","ft_id_1580","{[, Michael Stubblefield, ]}","[, Michael Stubblefield, ]",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1438+7.1m_517+dbpedia_3209}","7.1m_1438+7.1m_517+dbpedia_3209","{13462|33441|20044}","20044",,
"FoundingYear","0.0","FoundingYear-{7.1m_1334+7.1m_2838+ft_id_270+ft_id_337}","7.1m_1334+7.1m_2838+ft_id_270+ft_id_337","{1871|1834|1987|1912}","1912",,
"City","0.0","City-{7.1m_164+ft_id_613}","7.1m_164+ft_id_613","{atlanta|Atlanta}","Atlanta","true","Atlanta"
"Industries","0.8888888888888888","Industries-{7.1m_1102+7.1m_2834+7.1m_302+7.1m_3037+7.1m_3057+7.1m_3168+7.1m_3960+7.1m_474+7.1m_556+7.1m_7208+7.1m_778+dbpedia_4563+dbpedia_6444+ft_id_1015+ft_id_1145+ft_id_1204+ft_id_1796+ft_id_421}","7.1m_1102+7.1m_2834+7.1m_302+7.1m_3037+7.1m_3057+7.1m_3168+7.1m_3960+7.1m_474+7.1m_556+7.1m_7208+7.1m_778+dbpedia_4563+dbpedia_6444+ft_id_1015+ft_id_1145+ft_id_1204+ft_id_1796+ft_id_421","{[, information technology and services, ]|[, electrical/electronic manufacturing, ]|[, computer hardware, ]|[, real estate, ]|[, retail, ]|[, electrical/electronic manufacturing, ]|[, construction, ]|[, defense & space, ]|[, information technology and services, ]|[, financial services, ]|[, construction, ]|[, Home construction, ]|[, Arms industry
				Engineering
				Healthcare industry
				National security, ]|[, Capital Goods, ]|[, Aerospace & Defense, ]|[, Aerospace & Defense, ]|[, Consumer Durables, ]|[, Construction, ]}","[]",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_3182+ft_id_969}","dbpedia_3182+ft_id_969","{1260|2488}","1260",,
"FoundingYear","1.0","FoundingYear-{ft_id_1138}","ft_id_1138","{1996}","1996",,
"NumberOfEmployees","0.84","NumberOfEmployees-{7.1m_1262+7.1m_1815+7.1m_1921+7.1m_3193+7.1m_3245+7.1m_342+7.1m_3811+7.1m_425+7.1m_468+7.1m_502+7.1m_5328+7.1m_60+7.1m_6340+7.1m_661+7.1m_7033+dbpedia_1453+dbpedia_224+dbpedia_2818+dbpedia_5134+ft_id_1160+ft_id_1950+ft_id_301+ft_id_403+ft_id_712+ft_id_78}","7.1m_1262+7.1m_1815+7.1m_1921+7.1m_3193+7.1m_3245+7.1m_342+7.1m_3811+7.1m_425+7.1m_468+7.1m_502+7.1m_5328+7.1m_60+7.1m_6340+7.1m_661+7.1m_7033+dbpedia_1453+dbpedia_224+dbpedia_2818+dbpedia_5134+ft_id_1160+ft_id_1950+ft_id_301+ft_id_403+ft_id_712+ft_id_78","{21781|16607|10068|6409|5844|32299|6355|49487|33825|25061|4871|147107|5927|20486|2357|2160|12000|349000|46000|1901|13000|383000|46000|48254|281595}","12000",,
"Industries","1.0","Industries-{7.1m_1029+ft_id_179}","7.1m_1029+ft_id_179","{[, utilities, ]|[, Utilities, ]}","[]",,
"Industries","1.0","Industries-{7.1m_488+ft_id_129}","7.1m_488+ft_id_129","{[, banking, ]|[, Banking, ]}","[]",,
"NumberOfEmployees","1.0","NumberOfEmployees-{dbpedia_982+ft_id_212}","dbpedia_982+ft_id_212","{61335|64823}","61335",,
"Industries","1.0","Industries-{7.1m_1506+ft_id_812}","7.1m_1506+ft_id_812","{[, construction, ]|[, Business Services & Supplies, ]}","[]",,
"CeoNames","0.3333333333333333","CeoNames-{dbpedia_3867+dbpedia_5761+ft_id_288}","dbpedia_3867+dbpedia_5761+ft_id_288","{[, , ]|[, , ]|[, Robert M. Blue, ]}","[, , ]",,
"City","0.0","City-{7.1m_5776+ft_id_1656}","7.1m_5776+ft_id_1656","{parma|Vienna}","parma",,
"Name","0.5","Name-{dbpedia_3430+ft_id_382}","dbpedia_3430+ft_id_382","{Regeneron Pharmaceuticals|Regeneron Pharmaceuticals}","Regeneron Pharmaceuticals",,
"City","0.0","City-{7.1m_6164+ft_id_1523+ft_id_1616+ft_id_1661}","7.1m_6164+ft_id_1523+ft_id_1616+ft_id_1661","{gulfport|Almaty|Nagano|Harbin}","Almaty",,
"City","0.0","City-{7.1m_1873+7.1m_1887+7.1m_2142+7.1m_2815+7.1m_3172+7.1m_356+7.1m_487+7.1m_5453+7.1m_5808+ft_id_1154+ft_id_158+ft_id_1691+ft_id_329}","7.1m_1873+7.1m_1887+7.1m_2142+7.1m_2815+7.1m_3172+7.1m_356+7.1m_487+7.1m_5453+7.1m_5808+ft_id_1154+ft_id_158+ft_id_1691+ft_id_329","{orlando|nordborg|the hague|la defense|brisbane|paris|denver|udine|bethesda|Denver|Washington|New York|Paris}","paris",,
"City","0.0","City-{7.1m_1171+ft_id_1216}","7.1m_1171+ft_id_1216","{leme|Hong Kong}","leme",,
"City","1.0","City-{ft_id_137}","ft_id_137","{São Paulo}","São Paulo",,
"NumberOfEmployees","0.8333333333333334","NumberOfEmployees-{7.1m_255+7.1m_5140+7.1m_5389+dbpedia_2641+ft_id_200+ft_id_832}","7.1m_255+7.1m_5140+7.1m_5389+dbpedia_2641+ft_id_200+ft_id_832","{36464|4330|4505|45000|45000|21749}","45000",,
"CeoNames","1.0","CeoNames-{ft_id_431}","ft_id_431","{[, Amitabh Chaudhry MBA, ]}","[, Amitabh Chaudhry MBA, ]",,
"Industries","1.0","Industries-{7.1m_529+ft_id_1093}","7.1m_529+ft_id_1093","{[, telecommunications, ]|[, Telecommunications Services, ]}","[]",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_1469+ft_id_142}","dbpedia_1469+ft_id_142","{54982|52641}","54982",,
"FoundingYear","0.0","FoundingYear-{7.1m_2229+7.1m_3202+7.1m_3644+7.1m_4767+7.1m_6386+ft_id_1911}","7.1m_2229+7.1m_3202+7.1m_3644+7.1m_4767+7.1m_6386+ft_id_1911","{1938|1998|1994|1990|1954|2007}","2007",,
"Name","1.0","Name-{7.1m_6054+ft_id_80}","7.1m_6054+ft_id_80","{rosneft|Rosneft}","Rosneft",,
"CeoNames","1.0","CeoNames-{ft_id_1453}","ft_id_1453","{[, Thomas R. Greco, ]}","[, Thomas R. Greco, ]",,
"Name","0.6666666666666666","Name-{7.1m_911+dbpedia_6456+ft_id_1224}","7.1m_911+dbpedia_6456+ft_id_1224","{turkish airlines|Turkish Airlines|Turkish Airlines}","Turkish Airlines",,
"NumberOfEmployees","0.75","NumberOfEmployees-{7.1m_4046+dbpedia_3891+dbpedia_754+ft_id_697}","7.1m_4046+dbpedia_3891+dbpedia_754+ft_id_697","{8679|22500|10000|22850}","10000",,
"City","0.0","City-{7.1m_4944+ft_id_104}","7.1m_4944+ft_id_104","{peking|Beijing}","peking",,
"Industries","0.6666666666666666","Industries-{7.1m_966+dbpedia_816+ft_id_312}","7.1m_966+dbpedia_816+ft_id_312","{[, insurance, ]|[, Financial services, ]|[, Insurance, ]}","[]",,
"Country","0.0","Country-{7.1m_4885+ft_id_871}","7.1m_4885+ft_id_871","{sweden|Sweden}","sweden",,
"Revenue","0.5","Revenue-{dbpedia_1255+ft_id_633}","dbpedia_1255+ft_id_633","{1202|11325000000}","1202",,
"FoundingYear","1.0","FoundingYear-{ft_id_1269}","ft_id_1269","{1824}","1824",,
"CeoNames","1.0","CeoNames-{ft_id_1587}","ft_id_1587","{[, Michael J. Salvino, ]}","[, Michael J. Salvino, ]",,
"City","0.0","City-{7.1m_1217+ft_id_336}","7.1m_1217+ft_id_336","{washington|Washington}","Washington",,
"Country","1.0","Country-{ft_id_307}","ft_id_307","{China}","China",,
"Revenue","0.3333333333333333","Revenue-{dbpedia_346+dbpedia_997+ft_id_1243}","dbpedia_346+dbpedia_997+ft_id_1243","{1696000000000|15870000000|18014000000}","1696000000000",,
"Revenue","0.6666666666666666","Revenue-{dbpedia_1453+dbpedia_224+dbpedia_2818+dbpedia_4567+dbpedia_5134+ft_id_1160+ft_id_1684+ft_id_1950+ft_id_301+ft_id_403+ft_id_712+ft_id_78}","dbpedia_1453+dbpedia_224+dbpedia_2818+dbpedia_4567+dbpedia_5134+ft_id_1160+ft_id_1684+ft_id_1950+ft_id_301+ft_id_403+ft_id_712+ft_id_78","{48240000000|2|23520000000|13508|10220000000|13766000000|17842000000|4248000000|30358000000|17108000000|12776000000|176610000000}","2",,
"Country","0.5","Country-{7.1m_245+7.1m_2753+7.1m_948+ft_id_396}","7.1m_245+7.1m_2753+7.1m_948+ft_id_396","{united states|united states|united states|Ireland}","Ireland",,
"NumberOfEmployees","0.6666666666666666","NumberOfEmployees-{7.1m_1045+7.1m_120+7.1m_678+7.1m_94+dbpedia_5490+ft_id_1265}","7.1m_1045+7.1m_120+7.1m_678+7.1m_94+dbpedia_5490+ft_id_1265","{15703|133446|47611|111980|10102|9699}","10102",,
"Country","0.0","Country-{7.1m_2873+ft_id_1701}","7.1m_2873+ft_id_1701","{united states|United States}","United States",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1537+7.1m_1701+ft_id_483}","7.1m_1537+7.1m_1701+ft_id_483","{11536|13019|119383}","119383",,
"Industries","0.6666666666666666","Industries-{7.1m_1660+dbpedia_6708+ft_id_361}","7.1m_1660+dbpedia_6708+ft_id_361","{[, financial services, ]|[, Financial services, ]|[, Business Services & Supplies, ]}","[]",,
"Country","0.0","Country-{7.1m_1374+ft_id_455}","7.1m_1374+ft_id_455","{united states|United States}","united states",,
"CeoNames","0.5","CeoNames-{dbpedia_2455+dbpedia_4338+dbpedia_4939+ft_id_1439+ft_id_1840+ft_id_326}","dbpedia_2455+dbpedia_4338+dbpedia_4939+ft_id_1439+ft_id_1840+ft_id_326","{[, , ]|[, , ]|[, , ]|[, Robert Joseph Scaringe, ]|[, Yoshinori Yamashita, ]|[, Jérôme Lambert, ]}","[, , ]",,
"Industries","0.9411764705882353","Industries-{7.1m_114+7.1m_2071+7.1m_2085+7.1m_2952+7.1m_3232+7.1m_3386+7.1m_3538+7.1m_3724+7.1m_3787+7.1m_4430+7.1m_4869+7.1m_551+dbpedia_124+ft_id_1351+ft_id_1866+ft_id_615+ft_id_707}","7.1m_114+7.1m_2071+7.1m_2085+7.1m_2952+7.1m_3232+7.1m_3386+7.1m_3538+7.1m_3724+7.1m_3787+7.1m_4430+7.1m_4869+7.1m_551+dbpedia_124+ft_id_1351+ft_id_1866+ft_id_615+ft_id_707","{[, oil & energy, ]|[, banking, ]|[, mining & metals, ]|[, consumer goods, ]|[, marketing and advertising, ]|[, hospitality, ]|[, consumer goods, ]|[, banking, ]|[, retail, ]|[, furniture, ]|[, banking, ]|[, staffing and recruiting, ]|[, Petroleum, ]|[, Banking, ]|[, Trading Companies, ]|[, Oil & Gas Operations, ]|[, Trading Companies, ]}","[]",,
"FoundingYear","1.0","FoundingYear-{7.1m_2240}","7.1m_2240","{2003}","2003",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_3972+ft_id_1099}","7.1m_3972+ft_id_1099","{6146|15000}","15000",,
"CeoNames","0.5","CeoNames-{dbpedia_403+ft_id_89}","dbpedia_403+ft_id_89","{[, , ]|[, Peter S. Zaffino, ]}","[, Peter S. Zaffino, ]",,
"Industries","0.875","Industries-{7.1m_2287+7.1m_2694+7.1m_6870+7.1m_717+dbpedia_4343+ft_id_1835+ft_id_734+ft_id_856}","7.1m_2287+7.1m_2694+7.1m_6870+7.1m_717+dbpedia_4343+ft_id_1835+ft_id_734+ft_id_856","{[, information technology and services, ]|[, oil & energy, ]|[, information technology and services, ]|[, outsourcing/offshoring, ]|[, Telecommunications, ]|[, Telecommunications Services, ]|[, Telecommunications Services, ]|[, Chemicals, ]}","[]",,
"Revenue","1.0","Revenue-{dbpedia_3247+dbpedia_3849+ft_id_121+ft_id_1418}","dbpedia_3247+dbpedia_3849+ft_id_121+ft_id_1418","{3378000000|49910000000|61639000000|5992000000}","49910000000",,
"FoundingYear","0.0","FoundingYear-{7.1m_103+ft_id_272}","7.1m_103+ft_id_272","{1980|1883}","1883","false","1988"
"Name","0.6666666666666666","Name-{7.1m_3141+dbpedia_5620+ft_id_1585}","7.1m_3141+dbpedia_5620+ft_id_1585","{palo alto networks|Palo Alto Networks|Palo Alto Networks}","palo alto networks",,
"CeoNames","1.0","CeoNames-{ft_id_1451}","ft_id_1451","{[, William Charles Stone, ]}","[, William Charles Stone, ]",,
"Revenue","1.0","Revenue-{ft_id_269}","ft_id_269","{18484000000}","18484000000",,
"Name","0.3333333333333333","Name-{7.1m_1225+7.1m_125+7.1m_6933+dbpedia_5616+ft_id_1283+ft_id_285}","7.1m_1225+7.1m_125+7.1m_6933+dbpedia_5616+ft_id_1283+ft_id_285","{postnl|posteamos.com|polri|POSCO|Popular|Posco}","polri",,
"Country","0.0","Country-{7.1m_2148+ft_id_628}","7.1m_2148+ft_id_628","{spain|Canada}","spain",,
"Revenue","1.0","Revenue-{ft_id_10}","ft_id_10","{257488000000}","257488000000",,
"CeoNames","0.5","CeoNames-{dbpedia_5445+ft_id_339}","dbpedia_5445+ft_id_339","{[, , ]|[, James Michael Cracchiolo, ]}","[, James Michael Cracchiolo, ]",,
"Name","0.16666666666666666","Name-{7.1m_4148+7.1m_6547+7.1m_6827+7.1m_7014+dbpedia_436+ft_id_1038}","7.1m_4148+7.1m_6547+7.1m_6827+7.1m_7014+dbpedia_436+ft_id_1038","{kaplan|kaust|kantar|kajk.pl|Kakao|Kakao}","kaust",,
"FoundingYear","1.0","FoundingYear-{ft_id_185}","ft_id_185","{2003}","2003",,
"FoundingYear","1.0","FoundingYear-{ft_id_1000}","ft_id_1000","{1926}","1926",,
"Name","0.5","Name-{dbpedia_3279+ft_id_203}","dbpedia_3279+ft_id_203","{SAIC Motor|SAIC Motor}","SAIC Motor",,
"Name","0.3333333333333333","Name-{dbpedia_3026+dbpedia_6743+ft_id_652}","dbpedia_3026+dbpedia_6743+ft_id_652","{JFE Holdings|JFE Holdings|JFE Holdings}","JFE Holdings",,
"City","1.0","City-{ft_id_267}","ft_id_267","{Brasilia}","Brasilia",,
"City","1.0","City-{ft_id_134}","ft_id_134","{Abbott Park}","Abbott Park",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1855+7.1m_5952+dbpedia_4319+ft_id_1065}","7.1m_1855+7.1m_5952+dbpedia_4319+ft_id_1065","{10241|4146|55901|55600}","55901",,
"Revenue","0.6666666666666666","Revenue-{dbpedia_2590+ft_id_1544+ft_id_799}","dbpedia_2590+ft_id_1544+ft_id_799","{14860000000|4367000000|19297000000}","14860000000",,
"Industries","0.6666666666666666","Industries-{7.1m_1955+dbpedia_5896+ft_id_952}","7.1m_1955+dbpedia_5896+ft_id_952","{[, plastics, ]|[, Petrochemical, ]|[, Chemicals, ]}","[]",,
"CeoNames","1.0","CeoNames-{dbpedia_1787+ft_id_338}","dbpedia_1787+ft_id_338","{[, , ]|[, Daniel S. Glaser, ]}","[, Daniel S. Glaser, ]",,
"CeoNames","0.5","CeoNames-{dbpedia_3535+ft_id_1266}","dbpedia_3535+ft_id_1266","{[, , ]|[, Michelle D. Gass, ]}","[, Michelle D. Gass, ]",,
"FoundingYear","0.0","FoundingYear-{7.1m_1249+7.1m_6671+ft_id_311}","7.1m_1249+7.1m_6671+ft_id_311","{1920|1953|1858}","1858",,
"NumberOfEmployees","1.0","NumberOfEmployees-{7.1m_1724+7.1m_2860+7.1m_4431+ft_id_1323}","7.1m_1724+7.1m_2860+7.1m_4431+ft_id_1323","{8383|9977|5067|35179}","35179",,
"NumberOfEmployees","1.0","NumberOfEmployees-{dbpedia_756+ft_id_537}","dbpedia_756+ft_id_537","{8857|8819}","8857",,
"Country","1.0","Country-{ft_id_1336}","ft_id_1336","{Japan}","Japan",,
"Revenue","0.75","Revenue-{dbpedia_2213+ft_id_1053+ft_id_1475+ft_id_1505}","dbpedia_2213+ft_id_1053+ft_id_1475+ft_id_1505","{3308000000|5646000000|3828000000|1328000000}","3308000000",,
"Name","0.6666666666666666","Name-{7.1m_4742+dbpedia_786+ft_id_313}","7.1m_4742+dbpedia_786+ft_id_313","{eog resources|EOG Resources|EOG Resources}","eog resources",,
"Name","0.0","Name-{dbpedia_4762+ft_id_444}","dbpedia_4762+ft_id_444","{L3 Technologies|L3Harris Technologies}","L3 Technologies",,
"CeoNames","0.5","CeoNames-{dbpedia_636+ft_id_484}","dbpedia_636+ft_id_484","{[, , ]|[, Khairussaleh Ramli, ]}","[, Khairussaleh Ramli, ]",,
"Country","0.0","Country-{7.1m_218+ft_id_686}","7.1m_218+ft_id_686","{united states|United States}","united states",,
"Revenue","1.0","Revenue-{ft_id_1113+ft_id_794}","ft_id_1113+ft_id_794","{3671000000|19649000000}","19649000000",,
"City","0.0","City-{7.1m_62+ft_id_35}","7.1m_62+ft_id_35","{new york|New York}","new york","false","New York"
"CeoNames","0.5","CeoNames-{dbpedia_5417+ft_id_75}","dbpedia_5417+ft_id_75","{[, , ]|[, Edward P. Decker, ]}","[, Edward P. Decker, ]",,
"NumberOfEmployees","0.5","NumberOfEmployees-{dbpedia_5519+ft_id_587}","dbpedia_5519+ft_id_587","{48000|60000}","48000",,
"Country","0.0","Country-{7.1m_1170+ft_id_685}","7.1m_1170+ft_id_685","{united states|United Kingdom}","united states",,
"Industries","1.0","Industries-{7.1m_3658+ft_id_1041}","7.1m_3658+ft_id_1041","{[, electrical/electronic manufacturing, ]|[, Technology Hardware & Equipment, ]}","[]",,
"Name","1.0","Name-{dbpedia_4136+ft_id_443}","dbpedia_4136+ft_id_443","{D. R. Horton|D.R. Horton}","D.R. Horton",,
"Country","1.0","Country-{ft_id_174}","ft_id_174","{United States}","United States",,
"City","1.0","City-{ft_id_1352}","ft_id_1352","{Shihezi}","Shihezi",,
"Revenue","0.4","Revenue-{dbpedia_2622+dbpedia_3857+dbpedia_727+ft_id_1106+ft_id_667}","dbpedia_2622+dbpedia_3857+dbpedia_727+ft_id_1106+ft_id_667","{21300000000|20400000000|12631000000|26693000000|15603000000}","20400000000",,
"City","0.0","City-{7.1m_735+ft_id_433}","7.1m_735+ft_id_433","{new york|New York}","new york",,
"NumberOfEmployees","0.6666666666666666","NumberOfEmployees-{7.1m_4828+dbpedia_6091+ft_id_369}","7.1m_4828+dbpedia_6091+ft_id_369","{4453|11000|10164}","11000",,
"Revenue","0.5","Revenue-{dbpedia_929+ft_id_99}","dbpedia_929+ft_id_99","{84628000000|97204000000}","84628000000",,
"CeoNames","0.5","CeoNames-{dbpedia_4122+ft_id_1754}","dbpedia_4122+ft_id_1754","{[, , ]|[, Mark Henri Leonard, ]}","[, Mark Henri Leonard, ]",,
"Industries","0.8333333333333334","Industries-{7.1m_2124+7.1m_2740+7.1m_51+7.1m_5903+dbpedia_3316+ft_id_997}","7.1m_2124+7.1m_2740+7.1m_51+7.1m_5903+dbpedia_3316+ft_id_997","{[, automotive, ]|[, restaurants, ]|[, information technology and services, ]|[, marketing and advertising, ]|[, Advertising agency
				Public relations, ]|[, Media, ]}","[]",,
