"RecordIDS","AverageConsistency","Name-Consistency","Name-Values","Country-Consistency","Country-Values","NumberOfEmployees-Consistency","NumberOfEmployees-Values","Revenue-Consistency","Revenue-Values","FoundingYear-Consistency","FoundingYear-Values","Industries-Consistency","Industries-Values","City-Consistency","City-Values","Website-Consistency","Website-Values","CeoNames-Consistency","CeoNames-Values"
"dbpedia_2271+dbpedia_4151+ft_id_156","0.7777777777777778","0.3333333333333333","{Japan Post|Japan Post Holdings|Japan Post Holdings}","1.0","{Japan}","0.6666666666666666","{256572|245472|243612}","0.6666666666666666","{23061|109910000000|103582000000}","1.0","{1871}","0.6666666666666666","{[, Courier, ]|[, Conglomerate (company), ]|[, Insurance, ]}","1.0","{Tokyo}","1.0","{http://www.japanpost.jp}","0.6666666666666666","{[, , ]|[, , ]|[, Hiroya Masuda, ]}"
"7.1m_85011+dbpedia_6486","1.0","1.0","{blue hills bank|Blue Hills Bank}","1.0","{united states}","1.0","{206|228}","1.0","{80000000}","1.0","{1871}","1.0","{[, financial services, ]|[, Bank, ]}","1.0","{norwood}",,,"1.0","{[, , ]}"
"dbpedia_1708+ft_id_216","0.7222222222222222","0.5","{China Resources Land|China Resources Land}","1.0","{Hong Kong}","0.5","{31064|49478}","0.5","{14|33613000000}","1.0","{1994}","0.5","{[, Real estate, ]|[, Construction, ]}","1.0","{Hong Kong}","1.0","{http://www.crland.com.hk}","0.5","{[, , ]|[, Yong Tang, ]}"
"7.1m_175531+dbpedia_3082","1.0","1.0","{main street bank|Main Street Bank}","1.0","{united states}","1.0","{165|549}","1.0","{144000000}",,,"1.0","{[, banking, ]|[, Bank, ]}","1.0","{bingham farms}",,,"1.0","{[, , ]}"
"7.1m_15765+dbpedia_4086","1.0","1.0","{cteep|CTEEP}","1.0","{brazil}","1.0","{1342|1416}","1.0","{814700000}","1.0","{1999}","1.0","{[, oil & energy, ]|[, Electricity, ]}","1.0","{sao paulo}",,,"1.0","{[, , ]}"
"7.1m_20528+dbpedia_4284","1.0","1.0","{fido solutions|Fido Solutions}",,,"1.0","{2636|20000}","1.0","{1020000000}","1.0","{1996}","1.0","{[, telecommunications, ]|[, Mobile network operator, ]}",,,,,"1.0","{[, , ]}"
"7.1m_8420+dbpedia_2404+ft_id_1540","0.5555555555555556","0.6666666666666666","{shiseido|Shiseido|Shiseido}","0.0","{united states|Japan}","0.6666666666666666","{3791|46000|35318}","0.5","{920888|9421000000}","1.0","{1872|1872}","0.6666666666666666","{[, cosmetics, ]|[, Final good, ]|[, Household & Personal Products, ]}","0.0","{new york|Tokyo}","1.0","{http://www.shiseidogroup.jp}","0.5","{[, , ]|[, Masahiko Uotani, ]}"
"7.1m_15031+dbpedia_3345","1.0","1.0","{sui southern gas company|Sui Southern Gas Company}","1.0","{pakistan}","1.0","{1939|7153}","1.0","{69084}","1.0","{1956}","1.0","{[, utilities, ]|[, Petroleum industry, ]}","1.0","{karachi}",,,"1.0","{[, , ]}"
"7.1m_15316+dbpedia_3279+ft_id_203","0.4444444444444444","0.6666666666666666","{saic motor|SAIC Motor|SAIC Motor}","0.0","{china|China}","0.6666666666666666","{1132|144955|204815}","0.5","{101|121422000000}","0.0","{1940|1995}","0.6666666666666666","{[, automotive, ]|[, Automotive industry, ]|[, Consumer Durables, ]}","0.0","{shanghai|Shanghai}","1.0","{http://www.saicmotor.com}","0.5","{[, , ]|[, Zhi Xin Chen, ]}"
"7.1m_6903+dbpedia_5606","1.0","1.0","{smithfield foods|Smithfield Foods}","1.0","{united states}","1.0","{2787|50200}","1.0","{14400000000}","1.0","{1936}","1.0","{[, food production, ]|[, Meat industry, ]}","1.0","{washington}",,,"1.0","{[, , ]}"
