"","name","domain","year founded","industry","size range","locality","country","linkedin url","current employee estimate","total employee estimate"
"376181","sutherland global services","sutherlandglobal.com","1986.0","outsourcing/offshoring","10001+","rochester, new york, united states","united states","linkedin.com/company/sutherland-global-services","11691","33962"
"909992","four seasons hotels and resorts","fourseasons.com","","hospitality","10001+","toronto, ontario, canada","canada","linkedin.com/company/four-seasons-hotels-and-resorts","11683","35741"
"4296788","harvard university","harvard.edu","","higher education","10001+","cambridge, massachusetts, united states","united states","linkedin.com/company/harvard-university","11673","36400"
"4105246","telecom italia","telecomitalia.com","1994.0","telecommunications","10001+","milano, lombardy, italy","italy","linkedin.com/company/telecom-italia","11628","22587"
"1573020","mary kay cosmetics","kirstirice.com","","professional training & coaching","10001+","albany, new york, united states","united states","linkedin.com/company/mary-kay-cosmetics_2","11627","14195"
"6958544","ucla","ucla.edu","1919.0","higher education","10001+","los angeles, california, united states","united states","linkedin.com/company/ucla","11624","37495"
"178105","international paper","internationalpaper.com","","paper & forest products","10001+","memphis, tennessee, united states","united states","linkedin.com/company/international-paper","11618","25520"
"3432225","geico","geico.jobs","1936.0","insurance","10001+","chevy chase, maryland, united states","united states","linkedin.com/company/geico","11586","22348"
"2988651","pôle emploi","pole-emploi.org","","human resources","10001+","paris, île-de-france, france","france","linkedin.com/company/p-le-emploi","11583","16306"
"1658969","ch2m hill","ch2m.com","1946.0","civil engineering","10001+","englewood, colorado, united states","united states","linkedin.com/company/ch2m","11571","28544"
"6554227","kellogg company","kelloggcompany.com","1906.0","consumer goods","10001+","battle creek, michigan, united states","united states","linkedin.com/company/kellogg-company","11534","27877"
"4886278","t-systems","t-systems.com","2000.0","information technology and services","10001+","frankfurt am main, hesse, germany","germany","linkedin.com/company/t-systems","11532","29973"
"2372134","purdue university","purdue.edu","1869.0","higher education","10001+","west lafayette, indiana, united states","united states","linkedin.com/company/purdue-university","11530","36378"
"7016831","anheuser-busch inbev","ab-inbev.com","2008.0","consumer goods","10001+","leuven, vlaams-brabant, belgium","belgium","linkedin.com/company/anheuser-busch-inbev","11527","26419"
"563173","columbia university in the city of new york","columbia.edu","","higher education","10001+","new york, new york, united states","united states","linkedin.com/company/columbia-university","11520","35855"
"6233747","chase","chase.com","","financial services","10001+","new york, new york, united states","united states","linkedin.com/company/chase","11470","35635"
"5389068","providence health & services","providence.org","1859.0","hospital & health care","10001+","renton, washington, united states","united states","linkedin.com/company/providence-health-and-services","11468","19884"
"2945387","university of illinois at urbana-champaign","illinois.edu","1867.0","higher education","10001+","champaign, illinois, united states","united states","linkedin.com/company/university-of-illinois-at-urbana-champaign","11401","37793"
"6217071","junta de andalucía","juntadeandalucia.es","1978.0","government administration","10001+","","","linkedin.com/company/junta-de-andalucia","11396","16024"
